Question,Answer
What is AI?,Artificial Intelligence enables machines to perform tasks that normally require human intelligence.
What is Machine Learning?,Machine Learning allows computers to learn from data without being explicitly programmed.
What is Deep Learning?,Deep Learning is a subset of Machine Learning based on neural networks.
What is Python?,Python is a high-level interpreted programming language.
What is HTML?,HTML structures web pages using elements and tags.
What is CSS?,CSS styles HTML pages by controlling layout colors fonts and animations.
What is JavaScript?,JavaScript adds interactivity and dynamic behavior to web pages.
What is SQL?,SQL is used to store retrieve and manage relational database records.
What is Git?,Git is a distributed version control system.
What is GitHub?,GitHub is a cloud platform for hosting Git repositories.
What is the capital of India?,New Delhi is the capital of India.
What is the capital of Japan?,Tokyo is the capital of Japan.
Who invented the telephone?,Alexander Graham Bell invented the telephone.
Who discovered gravity?,Isaac Newton explained gravity.
Who discovered India?,Vasco da Gama reached India by sea in 1498.
What is the Sun?,The Sun is the star at the center of our Solar System.
What is Earth?,Earth is the third planet from the Sun.
Who is the Prime Minister of India?,The Prime Minister of India is the head of the Government of India.
What is the largest ocean?,The Pacific Ocean is the largest ocean on Earth.
What is the fastest animal?,The Peregrine Falcon is the fastest animal.